Id,Type,Name,File,Line
160,CPU,FD3D12OnlineViewHeap_AllocateHeapBlock,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Descriptors.cpp,279
161,CPU,D3D12RHI::RHICreateTextureInitializer,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Texture.cpp,1021
162,CPU,D3D12RHI::CreateTextureInternal,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Texture.cpp,625
163,CPU,D3D12RHI::SetDebugName,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Texture.cpp,673
164,CPU,D3D12RHI::CreateViews,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Texture.cpp,1731
165,CPU,FD3D12BindlessResourceManager::InitializeDescriptor,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12BindlessDescriptors.cpp,490
166,CPU,D3D12RHI::UpdateTextureStats,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Texture.cpp,151
167,CPU,FD3D12UploadHeapAllocator::AllocUploadResource,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Allocation.cpp,1158
168,CPU,FStaticMeshInstanceBuffer::InitRHI,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\InstancedStaticMesh.cpp,429
169,CPU,CreateReservedResource,D:\build\++UE5\Sync\Engine\Source\Runtime\D3D12RHI\Private\D3D12Resources.cpp,889
170,CPU,FPositionVertexBuffer::InitRHI,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\PositionVertexBuffer.cpp,236
171,CPU,FStaticMeshVertexBuffer::InitRHI,D:\build\++UE5\Sync\Engine\Source\Runtime\Engine\Private\Rendering\StaticMeshVertexBuffer.cpp,315
172,CPU,PipelineStateCacheInit,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3115
173,CPU,RenderUtilsInit,D:\build\++UE5\Sync\Engine\Source\Runtime\Launch\Private\LaunchEngineLoop.cpp,3121
174,CPU,AutoSDKInit - DelayedAutoRegisterHelper,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,351
175,CPU,FTargetPlatformManagerModule::SetupSDKStatus,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1379
176,CPU,FTargetPlatformManagerModule::DiscoverAvailablePlatforms FindFilesRecursive,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1070
177,CPU,IterateDirectoryRecursively.PF,D:\build\++UE5\Sync\Engine\Source\Runtime\Core\Public\Async\ParallelFor.h,323
178,CPU,Android,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
179,CPU,IOS,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
180,CPU,Linux,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
181,CPU,Mac,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
182,CPU,TVOS,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
183,CPU,Unix,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
184,CPU,VulkanPC,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
185,CPU,Windows,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
186,CPU,FTargetPlatformManagerModule::InitializeSinglePlatform,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,939
187,CPU,FTargetPlatformManagerModule::InitializeSinglePlatform Loading,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1008
188,CPU,VisionOS,D:\build\++UE5\Sync\Engine\Source\Developer\TargetPlatform\Private\TargetPlatformManagerModule.cpp,1100
189,CPU,ZenHttp_CurlPerform,D:\build\++UE5\Sync\Engine\Source\Developer\Zen\Private\ZenServerHttp.cpp,340
190,CPU,RunSpeedTest,D:\build\++UE5\Sync\Engine\Source\Developer\DerivedDataCache\Private\FileSystemCacheStore.cpp,1315
