Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
AddPluginsEnabledByDefault,1,1.000000,0.000742,0.000742,0.000742,0.000742,0.000742,0.000343,0.000343,0.000343,0.000343,0.000343
MarkEnabledPlugins,1,1.000000,0.029874,0.029874,0.029874,0.029874,0.029874,0.016269,0.016269,0.016269,0.016269,0.016269
ProcessEnabledPlugins,1,1.000000,0.099200,0.099200,0.099200,0.099200,0.099200,0.010536,0.010536,0.010536,0.010536,0.010536
FPlatformStackWalk::Init,1,1.000000,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012,0.000012
FDesktopPlatfomrBase::GetTargetsForProject,1,1.000000,0.000209,0.000209,0.000209,0.000209,0.000209,0.000208,0.000208,0.000208,0.000208,0.000208
IsTargetInfoValid,1,1.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
Load pre-init plugin modules,1,1.000000,0.146067,0.146067,0.146067,0.146067,0.146067,0.001773,0.001773,0.001773,0.001773,0.001773
BuildRootCertificateArray,1,1.000000,0.022773,0.022773,0.022773,0.022773,0.022773,0.022773,0.022773,0.022773,0.022773,0.022773
FApp::InitializeSession,1,1.000000,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011,0.000011
FCoreDelegates::OnInit,1,1.000000,0.055351,0.055351,0.055351,0.055351,0.055351,0.015783,0.015783,0.015783,0.015783,0.015783
UObjectBaseInit,1,1.000000,0.039566,0.039566,0.039566,0.039566,0.039566,0.029768,0.029768,0.029768,0.029768,0.029768
UObjectProcessRegistrants,124,124.000000,0.024594,0.000000,0.009798,0.000198,0.000099,0.021986,0.000000,0.009552,0.000177,0.000000
Package,697,697.000000,0.005864,0.000001,0.000046,0.000008,0.000006,0.005864,0.000001,0.000046,0.000008,0.000006
UE::CoreUObject::Private::MakeReferenceIds,365,365.000000,0.000306,0.000000,0.000013,0.000001,0.000000,0.000306,0.000000,0.000013,0.000001,0.000000
GIOThreadPool->Create,1,1.000000,0.002913,0.002913,0.002913,0.002913,0.002913,0.002913,0.002913,0.002913,0.002913,0.002913
System settings and cvar init,1,1.000000,0.032234,0.032234,0.032234,0.032234,0.032234,0.032115,0.032115,0.032115,0.032115,0.032115
ForEachObjectOfClass,1176,1176.000000,0.054885,0.000000,0.001958,0.000047,0.000000,0.001738,0.000000,0.000052,0.000001,0.000001
ForEachObjectOfClasses_Implementation,1176,1176.000000,0.053147,0.000000,0.001939,0.000045,0.000000,0.053147,0.000000,0.001939,0.000045,0.000000
FGlobalComponentRecreateRenderStateContext::FGlobalComponentRecreateRenderStateContext,5,5.000000,0.001247,0.000001,0.001137,0.000249,0.000036,0.000067,0.000001,0.000035,0.000013,0.000006
FGlobalComponentRecreateRenderStateContext::~FGlobalComponentRecreateRenderStateContext,5,5.000000,0.000030,0.000001,0.000014,0.000006,0.000005,0.000016,0.000001,0.000007,0.000003,0.000001
ClearMaterialPSORequests,5,5.000000,0.000014,0.000001,0.000007,0.000003,0.000002,0.000014,0.000001,0.000007,0.000003,0.000002
ComputePrimitiveComponents,3,3.000000,0.000138,0.000016,0.000097,0.000046,0.000025,0.000024,0.000002,0.000013,0.000008,0.000009
InitScalabilitySystem,1,1.000000,0.001488,0.001488,0.001488,0.001488,0.001488,0.001448,0.001448,0.001448,0.001448,0.001448
InitializeCVarsForActiveDeviceProfile,1,1.000000,0.564068,0.564068,0.564068,0.564068,0.564068,0.559566,0.559566,0.559566,0.559566,0.559566
Scalability::LoadState,1,1.000000,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036
LoadConsoleVariablesFromINI,1,1.000000,0.000531,0.000531,0.000531,0.000531,0.000531,0.000524,0.000524,0.000524,0.000524,0.000524
Platform Initialization,1,1.000000,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137
AutoRTFM,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
InitDerivedData,2,2.000000,1.922794,0.000000,1.922793,0.961397,1.913082,1.921612,0.000000,1.921612,0.960806,1.911907
InitIoDispatcher,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
IPlatformFeaturesModule::Get(),1,1.000000,0.003100,0.003100,0.003100,0.003100,0.003100,0.000055,0.000055,0.000055,0.000055,0.000055
InitGamePhys,1,1.000000,0.000396,0.000396,0.000396,0.000396,0.000396,0.000035,0.000035,0.000035,0.000035,0.000035
InitEngineTextLocalization,1,1.000000,0.008424,0.008424,0.008424,0.008424,0.008424,0.001371,0.001371,0.001371,0.001371,0.001371
FTextLocalizationManager::WaitForAsyncTasks,4,4.000000,0.691160,0.000000,0.691153,0.172790,0.000000,0.000017,0.000000,0.000010,0.000004,0.000004
MakeUniqueObjectName,4935,4935.000000,0.012218,0.000000,0.001791,0.000002,0.000000,0.012218,0.000000,0.001791,0.000002,0.000000
GCObjectReferencer,1,1.000000,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036,0.000036
WaitUntilTasksComplete,1998,1998.000000,1.284154,0.000000,0.691144,0.000643,0.000000,0.005954,0.000000,0.003531,0.000003,0.000000
FTaskBase::TryRetractAndExecute,19203,19203.000000,0.480650,0.000000,0.274760,0.000025,0.000000,0.466643,0.000000,0.018117,0.000024,0.000000
WaitForTasks,19379,19379.000000,22.767514,0.000000,1.939394,0.001175,0.000000,22.767514,0.000000,1.939394,0.001175,0.000000
FPlatformSplash::Show(),1,1.000000,0.002747,0.002747,0.002747,0.002747,0.002747,0.002747,0.002747,0.002747,0.002747,0.002747
FSlateApplication::Create(),1,1.000000,0.136133,0.136133,0.136133,0.136133,0.136133,0.134653,0.134653,0.134653,0.134653,0.134653
FConfigCacheIni::Flush,2,2.000000,0.000320,0.000158,0.000162,0.000160,0.000162,0.000320,0.000158,0.000162,0.000160,0.000162
FShaderParametersMetadataRegistration::CommitAll(),1,1.000000,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799,0.001799
FShaderTypeRegistration::CommitAll(),1,1.000000,0.028660,0.028660,0.028660,0.028660,0.028660,0.028660,0.028660,0.028660,0.028660,0.028660
FUniformBufferStruct::InitializeStructs(),1,1.000000,0.007520,0.007520,0.007520,0.007520,0.007520,0.007520,0.007520,0.007520,0.007520,0.007520
PreInitHMDDevice(),1,1.000000,0.000068,0.000068,0.000068,0.000068,0.000068,0.000068,0.000068,0.000068,0.000068,0.000068
RHIInit,1,1.000000,0.754275,0.754275,0.754275,0.754275,0.754275,0.713213,0.713213,0.713213,0.713213,0.713213
RHICmdList_Submit,9968,9968.000000,0.099208,0.000001,0.009616,0.000010,0.000001,0.070835,0.000001,0.000150,0.000007,0.000006
RHICmdList_FlushRHIThread,28,28.000000,0.018312,0.000005,0.009591,0.000654,0.000005,0.000073,0.000000,0.000012,0.000003,0.000002
RHI_Dispatch,30673,30673.000000,0.111693,0.000000,0.000405,0.000004,0.000004,0.103708,0.000000,0.000403,0.000003,0.000000
RHI_FinalizeAndSubmit,3057,3057.000000,0.002147,0.000000,0.000084,0.000001,0.000001,0.002147,0.000000,0.000084,0.000001,0.000001
RHI_Translate,30673,30673.000000,4.057117,0.000000,0.053133,0.000132,0.000000,0.078636,0.000000,0.000993,0.000003,0.000000
RHI_Finalize,21087,21087.000000,0.366596,0.000000,0.002976,0.000017,0.000030,0.366596,0.000000,0.002976,0.000017,0.000030
RHI_SubmitToGPU,3057,3057.000000,0.094449,0.000001,0.000625,0.000031,0.000026,0.041390,0.000000,0.000577,0.000014,0.000006
DeleteRHIResources,3057,3057.000000,0.031172,0.000000,0.000603,0.000010,0.000000,0.031172,0.000000,0.000603,0.000010,0.000000
D3D12Device::CreateDescriptorHeap(BindlessResourcesCPU  32768),1,1.000000,0.000301,0.000301,0.000301,0.000301,0.000301,0.000301,0.000301,0.000301,0.000301,0.000301
CreateNewBindlessHeap (2048),1,1.000000,0.000021,0.000021,0.000021,0.000021,0.000021,0.000003,0.000003,0.000003,0.000003,0.000003
D3D12Device::CreateDescriptorHeap(BindlessSamplers  2048),1,1.000000,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018
D3D12Device::CreateDescriptorHeap(GlobalResourceHeap  1000000),1,1.000000,0.023429,0.023429,0.023429,0.023429,0.023429,0.023429,0.023429,0.023429,0.023429,0.023429
D3D12Device::CreateDescriptorHeap(GlobalSamplerHeap  2048),1,1.000000,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592
D3D12Device::CreateDescriptorHeap(FD3D12OfflineDescriptorManager  2048),2,2.000000,0.000075,0.000037,0.000039,0.000038,0.000038,0.000075,0.000037,0.000039,0.000038,0.000038
D3D12Device::CreateDescriptorHeap(FD3D12OfflineDescriptorManager  256),2,2.000000,0.000012,0.000003,0.000009,0.000006,0.000009,0.000012,0.000003,0.000009,0.000006,0.000009
D3D12Device::CreateDescriptorHeap(FD3D12OfflineDescriptorManager  128),1,1.000000,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006
D3D12RHI::CreateRHIBuffer,2133,2133.000000,0.106774,0.000001,0.007684,0.000050,0.000001,0.008361,0.000001,0.000178,0.000004,0.000002
D3D12RHI::AllocateBuffer,2133,2133.000000,0.098413,0.000000,0.007680,0.000046,0.000000,0.061307,0.000000,0.002539,0.000029,0.000026
D3D12RHI::AllocatePoolResource,2763,2763.000000,0.370955,0.000000,0.021132,0.000134,0.000000,0.036041,0.000000,0.002252,0.000013,0.000000
FRHIPoolAllocator::TryAllocateInternal,2409,2409.000000,0.023110,0.000000,0.007621,0.000010,0.000000,0.003468,0.000000,0.000060,0.000001,0.000001
FD3D12PoolAllocator::CreateNewPool,8,8.000000,0.019642,0.000613,0.007619,0.002455,0.001851,0.013754,0.000008,0.007619,0.001719,0.000584
D3D12Device::CreateDescriptorHeap(Thread Local - Online Sampler Heap  2048),15,15.000000,0.069627,0.000617,0.007352,0.004642,0.007216,0.069627,0.000617,0.007352,0.004642,0.007216
CreateCommittedResource,425,425.000000,0.420041,0.000220,0.034951,0.000988,0.000571,0.420041,0.000220,0.034951,0.000988,0.000571
FD3D12OnlineViewHeap_AllocateHeapBlock,426,426.000000,0.000392,0.000000,0.000006,0.000001,0.000001,0.000392,0.000000,0.000006,0.000001,0.000001
D3D12RHI::RHICreateTextureInitializer,261,261.000000,0.213182,0.000031,0.046241,0.000817,0.000031,0.000503,0.000000,0.000041,0.000002,0.000001
D3D12RHI::CreateTextureInternal,605,605.000000,0.225932,0.000021,0.046240,0.000373,0.000021,0.019197,0.000006,0.001322,0.000032,0.000019
D3D12RHI::SetDebugName,605,605.000000,0.000176,0.000000,0.000003,0.000000,0.000000,0.000176,0.000000,0.000003,0.000000,0.000000
D3D12RHI::CreateViews,605,605.000000,0.004409,0.000002,0.000064,0.000007,0.000005,0.004132,0.000001,0.000063,0.000007,0.000004
FD3D12BindlessResourceManager::InitializeDescriptor,4644,4644.000000,0.001467,0.000000,0.000008,0.000000,0.000000,0.001467,0.000000,0.000008,0.000000,0.000000
D3D12RHI::UpdateTextureStats,269,269.000000,0.000306,0.000000,0.000005,0.000001,0.000001,0.000306,0.000000,0.000005,0.000001,0.000001
